# Weather station Sagar, India, WMO_ID=42671,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42671&lang=en
#
"Local time in Sagar";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"03.04.2016 08:30";"32.6";"712.0";"756.7";"1.5";"38";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"26.1";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"16.4";"";"";"";"";"";"";
"03.04.2016 05:30";"29.6";"710.5";"755.5";"-0.3";"31";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"10.8";"";"";"";"";"";"";
"03.04.2016 02:30";"28.6";"710.8";"755.9";"-0.2";"31";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"9.8";"";"";"";"";"";"";
"02.04.2016 23:30";"30.8";"711.0";"755.8";"0.2";"38";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"14.7";"";"";"";"";"";"";
"02.04.2016 20:30";"33.8";"710.8";"755.2";"1.9";"23";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"10.2";"";"";"";"";"";"";
"02.04.2016 17:30";"39.0";"708.9";"752.5";"-0.5";"22";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"41.7";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"13.8";"";"";"";"";"";"";
"02.04.2016 14:30";"40.0";"709.4";"752.8";"-2.2";"16";"Wind blowing from the north-west";"2";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"9.4";"";"";"";"";"";"";
"02.04.2016 11:30";"39.0";"711.6";"755.2";"-0.1";"20";"Wind blowing from the north-west";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"11.9";"";"";"";"";"";"";
"02.04.2016 08:30";"28.0";"711.7";"757.0";"1.6";"30";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"23.0";"";"";"";"";"";"";"10.0";"8.8";"";"";"";"";"";"";
"02.04.2016 05:30";"25.4";"710.1";"755.6";"0.2";"36";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"9.3";"";"";"";"";"";"";
"02.04.2016 02:30";"27.6";"709.9";"755.2";"-0.7";"35";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"10.7";"";"";"";"";"";"";
"01.04.2016 23:30";"29.0";"710.6";"755.8";"0.9";"31";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"10.4";"";"";"";"";"";"";
"01.04.2016 20:30";"32.6";"709.7";"754.2";"1.3";"27";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"11.2";"";"";"";"";"";"";
"01.04.2016 17:30";"38.0";"708.4";"752.1";"-0.6";"18";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"40.8";"";"";"";"";"";"10.0";"10.1";"";"";"";"";"";"";
"01.04.2016 14:30";"39.8";"709.0";"752.4";"-1.5";"15";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"9.0";"";"";"";"";"";"";
"01.04.2016 11:30";"36.6";"710.5";"754.5";"-0.3";"17";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"8.1";"";"";"";"";"";"";
"01.04.2016 08:30";"26.4";"710.8";"756.3";"1.3";"28";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"22.0";"";"";"";"";"";"";"10.0";"6.2";"";"";"";"";"";"";
"01.04.2016 05:30";"25.2";"709.5";"755.0";"0.3";"31";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"7.0";"";"";"";"";"";"";
"01.04.2016 02:30";"27.8";"709.2";"754.4";"-0.9";"29";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"8.0";"";"";"";"";"";"";
"31.03.2016 23:30";"29.4";"710.1";"755.0";"-0.1";"25";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"7.4";"";"";"";"";"";"";
"31.03.2016 20:30";"31.0";"710.2";"754.9";"1.2";"25";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"8.6";"";"";"";"";"";"";
"31.03.2016 17:30";"37.0";"709.0";"752.9";"-1.6";"21";"Wind blowing from the north-west";"1";"";"";"60%.";" ";"";"";"";"38.9";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"11.0";"";"";"";"";"";"";
"31.03.2016 14:30";"38.0";"710.6";"754.4";"-2.3";"16";"Wind blowing from the west";"1";"";"";"50%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"8.4";"";"";"";"";"";"";
"31.03.2016 11:30";"36.0";"712.9";"757.1";"-0.3";"17";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"7.5";"";"";"";"";"";"";
"31.03.2016 08:30";"29.4";"713.2";"758.4";"1.3";"27";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"23.2";"";"";"";"";"";"";"4.0";"8.5";"";"";"";"";"";"";
"31.03.2016 05:30";"24.8";"711.9";"757.8";"0.2";"34";"Wind blowing from the east";"1";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"7.9";"";"";"";"";"";"";
"31.03.2016 02:30";"25.6";"711.7";"757.4";"-1.1";"29";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"6.0";"";"";"";"";"";"";
"30.03.2016 23:30";"27.4";"712.8";"758.2";"0.5";"29";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"7.9";"";"";"";"";"";"";
"30.03.2016 20:30";"28.0";"712.3";"757.7";"1.1";"33";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"10.3";"";"";"";"";"";"";
"30.03.2016 17:30";"35.6";"711.2";"755.3";"-0.8";"18";"Wind blowing from the south-east";"1";"";"";"50%.";" ";"";"";"";"38.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"7.9";"";"";"";"";"";"";
"30.03.2016 14:30";"36.2";"712.0";"756.1";"-2.3";"14";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"4.7";"";"";"";"";"";"";
"30.03.2016 11:30";"35.6";"714.3";"751.1";"0.8";"16";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"6.1";"";"";"";"";"";"";
"30.03.2016 08:30";"30.4";"713.5";"758.6";"1.2";"23";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"23.4";"";"";"";"";"";"";"10.0";"7.0";"";"";"";"";"";"";
"30.03.2016 05:30";"24.4";"712.3";"758.2";"0.6";"30";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"5.7";"";"";"";"";"";"";
"30.03.2016 02:30";"25.0";"711.7";"757.5";"-0.9";"30";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"6.1";"";"";"";"";"";"";
"29.03.2016 23:30";"26.2";"712.6";"758.2";"0.5";"27";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"5.9";"";"";"";"";"";"";
"29.03.2016 20:30";"28.4";"712.1";"757.4";"1.1";"29";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"8.5";"";"";"";"";"";"";
"29.03.2016 17:30";"35.2";"711.0";"755.1";"-0.8";"18";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"";"37.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"7.7";"";"";"";"";"";"";
"29.03.2016 14:30";"37.0";"711.8";"755.8";"-1.6";"17";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"8.3";"";"";"";"";"";"";
"29.03.2016 11:30";"33.4";"713.4";"758.0";"-0.3";"22";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"8.9";"";"";"";"";"";"";
"29.03.2016 08:30";"28.4";"713.7";"759.1";"1.1";"34";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"22.0";"";"";"";"";"";"";"10.0";"10.9";"";"";"";"";"";"";
"29.03.2016 05:30";"23.2";"712.6";"758.6";"0.6";"37";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"7.5";"";"";"";"";"";"";
"29.03.2016 02:30";"24.8";"712.0";"757.9";"-0.7";"35";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"8.4";"";"";"";"";"";"";
"28.03.2016 23:30";"26.2";"712.7";"758.3";"1.0";"32";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"8.0";"";"";"";"";"";"";
"28.03.2016 20:30";"28.0";"711.7";"757.0";"1.1";"37";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"12.1";"";"";"";"";"";"";
"28.03.2016 17:30";"34.6";"710.6";"754.9";"-0.8";"19";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"37.0";"";"";"";"";"";"10.0";"7.8";"";"";"";"";"";"";
"28.03.2016 14:30";"35.8";"711.4";"755.5";"-2.1";"18";"Wind blowing from the west";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"7.7";"";"";"";"";"";"";
"28.03.2016 11:30";"32.8";"713.5";"758.3";"-0.3";"24";"Wind blowing from the south-west";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"9.5";"";"";"";"";"";"";
"28.03.2016 08:30";"24.6";"713.8";"759.8";"0.6";"52";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"18.0";"";"";"";"";"";"";"10.0";"14.2";"";"";"";"";"";"";
"28.03.2016 05:30";"20.0";"713.2";"760.0";"0.7";"74";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"15.1";"";"";"";"";"";"";
"28.03.2016 02:30";"21.6";"712.5";"758.8";"-0.2";"62";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"14.0";"";"";"";"";"";"";
"27.03.2016 23:30";"23.0";"712.7";"758.9";"-1.1";"64";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"15.7";"";"";"";"";"";"";
"27.03.2016 20:30";"25.6";"713.8";"759.6";"2.4";"52";"Wind blowing from the south-east";"2";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"15.1";"";"";"";"";"";"";
"27.03.2016 17:30";"30.0";"711.4";"756.4";"-0.3";"38";"Wind blowing from the north-east";"1";"";"";"90  or more, but not 100%";" ";"";"";"";"33.9";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"14.1";"";"";"";"";"";"";
"27.03.2016 14:30";"32.6";"711.7";"756.2";"-2.0";"33";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"14.3";"";"";"";"";"";"";
"27.03.2016 11:30";"27.8";"713.7";"759.2";"0.7";"45";"Wind blowing from the north-west";"1";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"14.8";"";"";"";"";"";"";
"27.03.2016 08:30";"25.8";"713.0";"758.3";"1.3";"49";"Wind blowing from the east";"1";"";"";"90  or more, but not 100%";" ";"";"";"23.6";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"14.2";"";"";"";"";"";"";
"27.03.2016 05:30";"25.2";"711.7";"757.3";"1.0";"49";"Wind blowing from the north-east";"1";"";"";"60%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"13.8";"";"";"";"";"";"";
"27.03.2016 02:30";"28.8";"710.7";"755.8";"-1.3";"22";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"5.2";"";"";"";"";"";"";
"26.03.2016 23:30";"30.0";"712.0";"757.1";"0.6";"20";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"5.0";"";"";"";"";"";"";
"26.03.2016 20:30";"32.2";"711.4";"756.0";"0.9";"24";"Wind blowing from the north";"1";"";"";"40%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"9.0";"";"";"";"";"";"";
"26.03.2016 17:30";"37.0";"710.5";"754.4";"-1.0";"20";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"40.2";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"10.5";"";"";"";"";"";"";
"26.03.2016 14:30";"39.2";"711.5";"755.0";"-2.1";"13";"Wind blowing from the north-west";"1";"";"";"40%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"5.9";"";"";"";"";"";"";
"26.03.2016 11:30";"37.2";"713.6";"757.6";"-0.2";"13";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"4.9";"";"";"";"";"";"";
"26.03.2016 08:30";"30.0";"713.8";"759.0";"1.2";"20";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"25.0";"";"";"";"";"";"";"10.0";"5.0";"";"";"";"";"";"";
"26.03.2016 05:30";"26.8";"712.6";"758.2";"0.3";"27";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"6.3";"";"";"";"";"";"";
"26.03.2016 02:30";"29.6";"712.3";"757.5";"-1.5";"20";"Wind blowing from the east";"1";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"4.3";"";"";"";"";"";"";
"25.03.2016 23:30";"30.6";"713.8";"758.9";"0.7";"17";"Wind blowing from the north";"1";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"3.0";"";"";"";"";"";"";
"25.03.2016 20:30";"31.4";"713.1";"757.9";"1.4";"19";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"5.3";"";"";"";"";"";"";
"25.03.2016 17:30";"37.0";"711.7";"755.7";"-1.0";"15";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"39.3";"";"";"";"";"";"10.0";"6.4";"";"";"";"";"";"";
"25.03.2016 14:30";"38.0";"712.7";"756.7";"-2.4";"13";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"5.3";"";"";"";"";"";"";
"25.03.2016 11:30";"36.2";"715.1";"759.4";"-0.2";"15";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"6.1";"";"";"";"";"";"";
"25.03.2016 08:30";"28.6";"715.3";"760.7";"1.4";"19";"Wind blowing from the south-east";"2";"";"";"no clouds";" ";"";"";"24.3";"";"";"";"";"";"";"10.0";"2.9";"";"";"";"";"";"";
"25.03.2016 05:30";"26.4";"713.9";"759.6";"0.1";"23";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"3.9";"";"";"";"";"";"";
"25.03.2016 02:30";"26.4";"713.8";"759.5";"-0.7";"23";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"3.9";"";"";"";"";"";"";
"24.03.2016 23:30";"26.6";"714.5";"760.2";"0.8";"22";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"2.9";"";"";"";"";"";"";
"24.03.2016 20:30";"27.6";"713.7";"759.2";"1.6";"24";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"5.4";"";"";"";"";"";"";
"24.03.2016 17:30";"35.6";"712.1";"756.3";"-0.7";"14";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"38.1";"";"";"";"";"";"10.0";"4.1";"";"";"";"";"";"";
"24.03.2016 14:30";"36.4";"712.8";"756.8";"-2.2";"9";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"-1.0";"";"";"";"";"";"";
"24.03.2016 11:30";"34.0";"715.0";"759.7";"0.3";"11";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"0.2";"";"";"";"";"";"";
"24.03.2016 08:30";"28.8";"714.7";"760.0";"2.1";"18";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"19.0";"";"";"";"";"";"";"10.0";"1.9";"";"";"";"";"";"";
"24.03.2016 05:30";"23.2";"712.6";"758.6";"1.5";"27";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"3.0";"";"";"";"";"";"";
"24.03.2016 02:30";"25.4";"711.1";"756.7";"-1.5";"21";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"1.2";"";"";"";"";"";"";
"23.03.2016 23:30";"27.0";"712.6";"758.2";"0.5";"17";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"0.2";"";"";"";"";"";"";
"23.03.2016 20:30";"27.4";"712.1";"757.5";"1.0";"21";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"3.2";"";"";"";"";"";"";
"23.03.2016 17:30";"34.2";"711.1";"755.3";"0.3";"13";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"37.0";"";"";"";"";"";"10.0";"1.6";"";"";"";"";"";"";
"23.03.2016 14:30";"35.4";"710.8";"754.9";"-2.4";"10";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"-1.1";"";"";"";"";"";"";
"23.03.2016 11:30";"32.4";"713.2";"757.8";"0.6";"11";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"-1.3";"";"";"";"";"";"";
"23.03.2016 08:30";"24.2";"712.6";"758.5";"1.5";"25";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"18.0";"";"";"";"";"";"";"10.0";"2.9";"";"";"";"";"";"";
"23.03.2016 05:30";"18.0";"711.1";"758.0";"0.3";"39";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"3.9";"";"";"";"";"";"";
"23.03.2016 02:30";"21.0";"710.8";"757.2";"-1.2";"28";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"1.6";"";"";"";"";"";"";
"22.03.2016 23:30";"22.4";"712.0";"758.2";"0.6";"24";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"0.9";"";"";"";"";"";"";
"22.03.2016 20:30";"25.4";"711.4";"757.0";"1.5";"26";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"4.5";"";"";"";"";"";"";
"22.03.2016 17:30";"32.4";"709.9";"754.3";"-0.8";"18";"Wind blowing from the south-west";"2";"";"";"no clouds";" ";"";"";"";"34.4";"";"";"";"";"";"10.0";"5.3";"";"";"";"";"";"";
"22.03.2016 14:30";"33.8";"710.7";"755.1";"-1.9";"17";"Wind blowing from the north-west";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"5.6";"";"";"";"";"";"";
"22.03.2016 11:30";"30.0";"712.6";"757.7";"0.0";"23";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"6.8";"";"";"";"";"";"";
"22.03.2016 08:30";"25.0";"712.6";"758.5";"1.8";"31";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"18.6";"";"";"";"";"";"";"10.0";"6.7";"";"";"";"";"";"";
"22.03.2016 05:30";"20.0";"710.8";"757.4";"1.4";"45";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"7.8";"";"";"";"";"";"";
"22.03.2016 02:30";"23.0";"709.4";"755.4";"-1.4";"38";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"7.7";"";"";"";"";"";"";
"21.03.2016 23:30";"24.2";"710.8";"756.7";"0.2";"34";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"7.5";"";"";"";"";"";"";
"21.03.2016 20:30";"27.6";"710.6";"755.9";"1.0";"40";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"12.9";"";"";"";"";"";"";
"21.03.2016 17:30";"34.0";"709.6";"753.9";"-0.7";"21";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"36.7";"";"";"";"";"";"10.0";"8.4";"";"";"";"";"";"";
"21.03.2016 14:30";"36.0";"710.3";"754.3";"-2.2";"16";"Wind blowing from the west";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"6.3";"";"";"";"";"";"";
"21.03.2016 11:30";"33.6";"712.5";"757.0";"-0.1";"22";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"8.8";"";"";"";"";"";"";
"21.03.2016 08:30";"27.0";"712.6";"758.2";"1.9";"30";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"19.0";"";"";"";"";"";"";"10.0";"7.8";"";"";"";"";"";"";
