# Weather station Agra, India, WMO_ID=42260,selection from 01.01.2012 till 25.06.2018, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42260&lang=en
#
"Local time in Agra";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"06.06.2018 17:30";"35.9";"735.6";"749.4";"-1.3";"46";"Wind blowing from the east";"3";"";"";"90  or more, but not 100%";" ";"";"";"";"40.8";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"22.7";"";"";"";"";"";"";
"06.06.2018 14:30";"36.6";"736.9";"750.7";"-1.4";"57";"Wind blowing from the south-west";"1";"";"";"50%.";"Haze. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.7";"";"";"";"";"";"";
"06.06.2018 11:30";"37.3";"738.3";"752.1";"-2.7";"34";"Wind blowing from the north-east";"4";"";"";"70 – 80%.";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"18.8";"";"";"";"";"";"";
"06.06.2018 08:30";"30.0";"741.0";"755.2";"2.5";"84";"Wind blowing from the west";"6";"";"";"90  or more, but not 100%";" ";"";"";"29.3";"";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"27.1";"";"";"";"";"";"";
"06.06.2018 05:30";"32.1";"738.5";"752.5";"";"67";"Wind blowing from the west-northwest";"4";"";"";"50%.";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.2";"";"";"";"";"";"";
"05.06.2018 17:30";"40.1";"734.5";"748.1";"";"31";"Wind blowing from the east-northeast";"3";"";"";"no clouds";" ";"";"";"";"41.3";"";"";"";"";"";"4.0";"20.1";"";"";"";"";"";"";
"05.06.2018 11:30";"38.5";"737.7";"751.4";"-0.3";"39";"Wind blowing from the east";"4";"";"";"60%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"22.2";"";"";"";"";"";"";
"05.06.2018 08:30";"33.9";"738.0";"751.9";"";"56";"Wind blowing from the east";"5";"";"";"no clouds";" ";"";"";"31.7";"";"";"";"";"";"";"4.0";"23.9";"";"";"";"";"";"";
"04.06.2018 17:30";"40.5";"733.0";"746.5";"";"30";"Wind blowing from the east";"4";"";"";"no clouds";" ";"";"";"";"42.0";"";"";"";"";"";"4.0";"19.9";"";"";"";"";"";"";
"04.06.2018 11:30";"38.6";"736.0";"749.7";"-0.4";"37";"Wind blowing from the east-southeast";"4";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"21.3";"";"";"";"";"";"";
"04.06.2018 08:30";"33.9";"736.4";"750.3";"1.1";"58";"Wind blowing from the east";"3";"";"";"10%  or less, but not 0";" ";"";"";"30.9";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"24.6";"";"";"";"";"";"";
"04.06.2018 05:30";"31.0";"735.3";"749.3";"";"70";"Wind blowing from the east-northeast";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"24.9";"";"";"";"";"";"";
"03.06.2018 17:30";"39.5";"733.1";"746.7";"";"30";"Wind blowing from the north-northeast";"4";"";"";"no clouds";" ";"";"";"";"40.6";"";"";"";"";"";"4.0";"18.8";"";"";"";"";"";"";
"03.06.2018 11:30";"35.7";"736.2";"750.0";"-0.5";"47";"Wind blowing from the south-east";"3";"";"";"10%  or less, but not 0";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.7";"";"";"";"";"";"";
"03.06.2018 08:30";"30.8";"736.7";"750.7";"1.0";"89";"Wind blowing from the east";"4";"";"";"no clouds";" ";"";"";"28.7";"";"";"";"";"";"";"4.0";"28.8";"";"";"";"";"";"";
"03.06.2018 05:30";"28.7";"735.7";"749.8";"";"88";"Wind blowing from the east";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"26.6";"";"";"";"";"";"";
"02.06.2018 17:30";"37.7";"735.6";"749.3";"";"33";"Wind blowing from the east";"4";"";"";"no clouds";" ";"";"";"";"39.0";"";"";"";"";"";"4.0";"18.6";"";"";"";"";"";"";
"02.06.2018 11:30";"36.8";"738.7";"752.5";"-0.6";"33";"Wind blowing from the south-east";"4";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"17.9";"";"";"";"";"";"";
"02.06.2018 08:30";"29.8";"739.3";"753.4";"1.5";"44";"Wind blowing from the east-southeast";"4";"";"";"no clouds";" ";"";"";"26.8";"";"";"";"";"";"";"4.0";"16.4";"";"";"";"";"";"";
"02.06.2018 05:30";"26.9";"737.8";"752.0";"";"58";"variable wind direction";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"17.9";"";"";"";"";"";"";
"01.06.2018 17:30";"40.4";"734.2";"747.8";"";"29";"Wind blowing from the east";"3";"";"";"no clouds";" ";"";"";"";"42.1";"";"";"";"";"";"4.0";"19.4";"";"";"";"";"";"";
"01.06.2018 11:30";"38.0";"737.7";"751.4";"-0.7";"38";"Wind blowing from the east";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"21.2";"";"";"";"";"";"";
"01.06.2018 08:30";"32.9";"738.4";"752.4";"1.4";"58";"Wind blowing from the east";"5";"";"";"10%  or less, but not 0";" ";"";"";"30.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.5";"";"";"";"";"";"";
"01.06.2018 05:30";"30.9";"737.0";"751.0";"";"62";"Wind blowing from the east-southeast";"3";"";"";"20–30%.";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.8";"";"";"";"";"";"";
"31.05.2018 17:30";"41.6";"734.6";"748.1";"";"18";"variable wind direction";"1";"";"";"no clouds";" ";"";"";"";"42.9";"";"";"";"";"";"4.0";"12.6";"";"";"";"";"";"";
"31.05.2018 11:30";"39.2";"737.6";"751.3";"-0.3";"22";"Wind blowing from the south";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"14.1";"";"";"";"";"";"";
"31.05.2018 08:30";"33.3";"737.9";"751.8";"1.9";"50";"variable wind direction";"1";"";"";"no clouds";" ";"";"";"26.3";"";"";"";"";"";"";"4.0";"21.5";"";"";"";"";"";"";
"31.05.2018 05:30";"26.7";"736.0";"750.2";"";"77";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"22.4";"";"";"";"";"";"";
"30.05.2018 17:30";"36.6";"733.4";"747.1";"";"41";"Wind blowing from the north-east";"4";"";"";"50%.";"State of sky on the whole unchanged. ";"Thunderstorm(s) with or without precipitation.";"Rain.";"";"37.5";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"21.2";"";"";"";"";"";"";
"30.05.2018 11:30";"33.1";"735.9";"749.8";"0.1";"55";"Wind blowing from the east-southeast";"3";"";"";"100%.";"State of sky on the whole unchanged. ";"Thunderstorm(s) with or without precipitation.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.9";"";"";"";"";"";"";
"30.05.2018 08:30";"30.4";"735.8";"749.8";"1.8";"67";"Wind blowing from the east";"4";"";"";"100%.";"Thunderstorm, but no precipitation at the time of observation. ";"Thunderstorm(s) with or without precipitation.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"29.7";"";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.5";"";"";"";"";"";"";
"30.05.2018 05:30";"31.3";"734.0";"748.0";"";"58";"Wind blowing from the north-northeast";"3";"";"";"100%.";"State of sky on the whole unchanged. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"22.2";"";"";"";"";"";"";
"29.05.2018 17:30";"44.2";"731.5";"744.8";"";"8";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"";"45.9";"Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"2.7";"";"";"";"";"";"";
"29.05.2018 11:30";"42.4";"734.5";"748.0";"-0.2";"16";"Wind blowing from the south-southwest";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"12.0";"";"";"";"";"";"";
"29.05.2018 08:30";"35.2";"734.7";"748.5";"1.1";"29";"Wind blowing from the south-southeast";"3";"";"";"no clouds";" ";"";"";"27.2";"";"";"";"";"";"";"4.0";"14.4";"";"";"";"";"";"";
"29.05.2018 05:30";"27.7";"733.6";"747.7";"";"49";"variable wind direction";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"15.9";"";"";"";"";"";"";
"28.05.2018 17:30";"41.9";"731.7";"745.1";"";"14";"Wind blowing from the north-northwest";"4";"";"";"no clouds";" ";"";"";"";"43.8";"";"";"";"";"";"4.0";"9.0";"";"";"";"";"";"";
"28.05.2018 11:30";"40.7";"";"";"";"13";"Wind blowing from the north-west";"4";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"6.9";"";"";"";"";"";"";
"28.05.2018 08:30";"34.4";"735.3";"749.2";"1.2";"22";"Wind blowing from the west-southwest";"3";"";"";"no clouds";" ";"";"";"25.3";"";"";"";"";"";"";"4.0";"9.8";"";"";"";"";"";"";
"28.05.2018 05:30";"25.5";"734.1";"748.3";"";"57";"variable wind direction";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"16.4";"";"";"";"";"";"";
"27.05.2018 17:30";"44.1";"733.4";"746.8";"";"6";"Wind blowing from the west-southwest";"2";"";"";"no clouds";" ";"";"";"";"45.8";"";"";"";"";"";"4.0";"-1.4";"";"";"";"";"";"";
"27.05.2018 11:30";"44.0";"736.6";"750.1";"-0.1";"14";"Wind blowing from the north-west";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"11.1";"";"";"";"";"";"";
"27.05.2018 08:30";"37.5";"736.7";"750.4";"1.3";"14";"Wind blowing from the west";"2";"";"";"20–30%.";" ";"";"";"26.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"5.4";"";"";"";"";"";"";
"27.05.2018 05:30";"27.8";"735.4";"749.6";"";"34";"variable wind direction";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"10.5";"";"";"";"";"";"";
"26.05.2018 17:30";"44.2";"734.3";"747.7";"";"6";"Wind blowing from the north-west";"2";"";"";"no clouds";" ";"";"";"";"45.7";"";"";"";"";"";"4.0";"-1.4";"";"";"";"";"";"";
"26.05.2018 11:30";"44.8";"736.8";"750.2";"-0.1";"7";"variable wind direction";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"1.6";"";"";"";"";"";"";
"26.05.2018 08:30";"38.6";"736.9";"750.6";"1.2";"23";"variable wind direction";"1";"";"";"20–30%.";" ";"";"";"26.6";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"14.3";"";"";"";"";"";"";
"26.05.2018 05:30";"27.8";"735.7";"749.9";"";"47";"variable wind direction";"1";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"15.4";"";"";"";"";"";"";
"25.05.2018 17:30";"43.4";"734.9";"748.3";"";"7";"Wind blowing from the west-northwest";"2";"";"";"20–30%.";" ";"";"";"";"45.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"0.1";"";"";"";"";"";"";
"25.05.2018 11:30";"41.4";"737.6";"751.2";"-0.3";"18";"Wind blowing from the west-southwest";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"12.6";"";"";"";"";"";"";
"25.05.2018 08:30";"33.4";"737.9";"751.8";"1.9";"40";"Wind blowing from the north-west";"3";"";"";"no clouds";" ";"";"";"26.6";"";"";"";"";"";"";"4.0";"18.0";"";"";"";"";"";"";
"25.05.2018 05:30";"27.8";"736.0";"750.2";"";"58";"variable wind direction";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"18.8";"";"";"";"";"";"";
"24.05.2018 17:30";"41.6";"734.2";"747.7";"";"16";"Wind blowing from the north-east";"6";"";"";"40%.";" ";"";"";"";"44.0";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"10.7";"";"";"";"";"";"";
"24.05.2018 11:30";"40.8";"736.6";"750.2";"0.2";"32";"Wind blowing from the east-southeast";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"21.0";"";"";"";"";"";"";
"24.05.2018 08:30";"35.6";"736.4";"750.2";"1.4";"39";"Wind blowing from the east";"3";"";"";"20–30%.";" ";"";"";"30.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"19.7";"";"";"";"";"";"";
"24.05.2018 05:30";"30.8";"735.0";"749.0";"";"47";"variable wind direction";"1";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"18.1";"";"";"";"";"";"";
"23.05.2018 17:30";"43.4";"734.4";"747.8";"";"14";"Wind blowing from the east-southeast";"2";"";"";"no clouds";" ";"";"";"";"45.4";"";"";"";"";"";"4.0";"10.2";"";"";"";"";"";"";
"23.05.2018 11:30";"43.0";"737.6";"751.1";"-0.7";"16";"variable wind direction";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"11.7";"";"";"";"";"";"";
"23.05.2018 08:30";"36.8";"738.3";"752.1";"1.7";"24";"variable wind direction";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"29.2";"";"";"";"";"";"";"4.0";"13.4";"";"";"";"";"";"";
"23.05.2018 05:30";"29.8";"736.6";"750.7";"";"42";"variable wind direction";"1";"";"";"20–30%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"15.6";"";"";"";"";"";"";
"22.05.2018 17:30";"44.2";"735.8";"749.2";"";"10";"Wind blowing from the west-northwest";"2";"";"";"no clouds";" ";"";"";"";"45.4";"";"";"";"";"";"4.0";"5.9";"";"";"";"";"";"";
"22.05.2018 11:30";"42.0";"738.8";"752.4";"-0.1";"12";"variable wind direction";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"7.1";"";"";"";"";"";"";
"22.05.2018 08:30";"34.4";"738.9";"752.8";"1.5";"23";"variable wind direction";"1";"";"";"no clouds";" ";"";"";"28.0";"";"";"";"";"";"";"4.0";"10.3";"";"";"";"";"";"";
"22.05.2018 05:30";"29.0";"737.4";"751.5";"";"54";"variable wind direction";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"18.8";"";"";"";"";"";"";
"21.05.2018 17:30";"41.8";"736.9";"750.4";"";"8";"Wind blowing from the north-east";"2";"";"";"no clouds";" ";"";"";"";"43.2";"";"";"";"";"";"4.0";"0.9";"";"";"";"";"";"";
"21.05.2018 11:30";"39.4";"739.1";"752.8";"-0.5";"20";"Wind blowing from the north-west";"4";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"12.7";"";"";"";"";"";"";
"21.05.2018 08:30";"33.6";"739.6";"753.6";"1.8";"32";"Wind blowing from the north-northwest";"2";"";"";"no clouds";" ";"";"";"27.2";"";"";"";"";"";"";"4.0";"14.5";"";"";"";"";"";"";
"21.05.2018 05:30";"28.0";"737.8";"752.0";"";"52";"variable wind direction";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"17.2";"";"";"";"";"";"";
"20.05.2018 17:30";"39.2";"736.4";"750.1";"";"21";"variable wind direction";"1";"";"";"no clouds";" ";"";"";"";"41.4";"";"";"";"";"";"4.0";"13.4";"";"";"";"";"";"";
"20.05.2018 11:30";"37.8";"739.2";"753.0";"-0.1";"22";"Wind blowing from the north";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"12.8";"";"";"";"";"";"";
"20.05.2018 08:30";"30.0";"739.3";"753.4";"2.0";"47";"variable wind direction";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"24.8";"";"";"";"";"";"";"4.0";"17.4";"";"";"";"";"";"";
"20.05.2018 05:30";"25.4";"737.3";"751.6";"";"69";"variable wind direction";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"19.2";"";"";"";"";"";"";
"19.05.2018 17:30";"29.4";"736.7";"750.8";"";"50";"Wind blowing from the north-west";"4";"";"";"90  or more, but not 100%";"Thunderstorm (with or without precipitation). ";"Thunderstorm(s) with or without precipitation.";"Rain.";"";"43.0";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"17.8";"";"";"";"";"";"";
"19.05.2018 11:30";"40.4";"738.0";"751.6";"-0.2";"25";"Wind blowing from the west-southwest";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"16.7";"";"";"";"";"";"";
"19.05.2018 08:30";"35.6";"738.2";"752.1";"1.2";"39";"variable wind direction";"1";"";"";"no clouds";" ";"";"";"28.8";"";"";"";"";"";"";"4.0";"19.7";"";"";"";"";"";"";
"19.05.2018 05:30";"29.8";"737.0";"751.1";"";"55";"variable wind direction";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"19.8";"";"";"";"";"";"";
